Title,Teks,Media,Label,Link;;;;;;;;
"Soccer Brain Dewa United yang Hancurkan Persib Bandung,""Persib Bandung akhirnya menelan kekalahan di Liga 1. Soccer brain yang diperagakan Dewa United yang menjinakkan Maung Bandung.";;;;;;;;
Bertanding di Stadion Bandung Lautan Api, Jumat (17/1/2025) malam WIB, Persib menelan kekalahan 0-2 dari Tangsel Warriors. Dalam laga itu, gol dari Alex Martins dan Septian Bagaskara yang menjadi penentu kemenangan Dewa United.;;;;;;;;
Persib didominasi Dewa United dalam laga itu. Situs Lapangbola mencatat penguasaan bola Persib di angka 36 persen, berbanding 64 persen milik Dewa United.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Dewa United mendominasi lini tengah, permainan mereka dengan melakukan umpan pendek satu-dua sentuhan. Trio Jaja, Ricky Kambuaya, dan Alexis Messidoro membawa Dewa United menguasai permainan.;;;;;;;;
Secara keseluruhan, Dewa United melepas 509 umpan yang 224 di antaranya sukses mencapai sasaran. Sementara itu Persib melepaskan 329 umpan, sukses 257.;;;;;;;;
Meski tak mencetak gol, Ricky Kambuaya pantas mendapat apresiasi saat tampil untuk Dewa United melawan Persib. Gelandang Timnas Indonesia itu menjadi pencetak assist dua gol kemenangan Dewa United.;;;;;;;;
Asisten pelatih Dewa United, Firman Utina, memberi label permainan timnya sebagai soccer brain untuk bisa menaklukkan Persib.;;;;;;;;
Pelatih Persib, Bojan Hodak, mengakui bahwa serangan balik Dewa United berbahaya hingga timnya menelan kekalahan pertama di Liga 1.;;;;;;;;
"Seperti yang sudah saya katakan sebelumnya bahwa ini akan menjadi pertandingan yang sulit. Babak pertama berjalan imbang 50-50. Kami punya peluang, tetapi mereka bisa mencetak gol,"""" kata Bojan Hodak seperti dikabarkan detikJabar.";;;;;;;;
"Di babak kedua, mereka bertahan dan menunggu serangan balik yang memang itu sangat berbahaya. Kami memang memiliki beberapa peluang, tetapi kami gagal mencetak gol. Dan pada akhirnya, mereka menghukum kami melalui serangan balik,"""" ucapnya menambahkan."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7738106/soccer-brain-dewa-united-yang-hancurkan-persib-bandung";;;;;;;;
"EKSKLUSIF Liputan6 SCTV: Patrick Kluivert Tidak Ingin Buang Waktu demi Bawa Timnas Indonesia Lolos ke Piala Dunia dan Bahagiakan Suporter,""Liputan6.com, Jakarta - Pelatih timnas Indonesia Patrick Kluivert mempertegas tekad dalam mewujudkan mimpi lolos ke Piala Dunia 2026. Dengan bantuan para asisten, dia ingin membahagiakan suporter yang sudah memberikan dukungan penuh bagi Skuad Garuda.";;;;;;;;
Sosok berusia 48 tahun tersebut menuturkan itu pada program eksklusif Liputan6 SCTV Patrick Kluivert Bicara bersama Glen Joshua dan Azizah Hanum.;;;;;;;;
Baca Juga;;;;;;;;
"Kami datang tidak untuk membuang waktu siapa pun. Kami akan memberikan yang terbaik untuk lolos ke Piala Dunia. Itulah target jangka pendek. Kami ingin memberikan kebahagiaan kepada suporter karena berada di belakang tim dan mendukung mewujudkan itu,"""" kata Kluivert.";;;;;;;;
Advertisement;;;;;;;;
Berbekal pengalamannya bekerja di level tertinggi, Kluivert merasa memiliki ilmu yang bisa dibagi demi membangun sepak bola Indonesia. Terutama untuk pemain muda yang menjadi masa depan SKuad Garuda.;;;;;;;;
"Kami ingin memberikan pemain U-17, U-20, U-23 bagaimana cara bekerja, bagaimana cara berlatih. Saya dan staf memiliki pengalaman untuk itu. Itulah warisan yang ingin kami tinggalkan untuk sepak bola Indonesia,"""" ungkap Patrick Kluivert.";;;;;;;;
Timnas Indonesia saat ini berada di ronde ketiga kualifikasi Piala Dunia 2026 zona Asia. Dengan raihan enam angka, Jay Idzes dan kawan-kawan hanya tertinggal dari Jepang (16 poin) dan Australia (7 poin).;;;;;;;;
Tersisa empat pertandingan, Indonesia harus masuk zona dua besar untuk lolos otomatis ke turnamen di Amerika Serikat, Kanada, dan Meksiko. Sementara peringkat 3-4 masih memiliki kesempatan melaju pada putaran keempat kualifikasi.;;;;;;;;
Demi meraih hasil semaksimal mungkin, Kluivert akan memaksimalkan seluruh sumber daya yang ada. Dia pun berencana meracik komposisi terbaik dari pemain diaspora dan lokal.;;;;;;;;
"Saya tidak hanya akan memilih pemain Eropa atau pemain lokal. Tim ini akan memadukan keduanya. Kami memiliki visi dan misi yang sama. Dan semuanya harus bersatu,"""" tegas Kluivert.";;;;;;;;
Kluivert menyebut Marselino Ferdinan sebagai talenta lokal Indonesia yang menarik perhatiannya. Dia pun menilai mantan penggawa Persebaya Surabaya itu bisa memainkan peran krusial bagi Tim Garuda.;;;;;;;;
"Saya pikir Marselino bisa jadi pemain penting di tim. Tapi begitu juga pemain lain. Setiap pemain yang ada di dalam skuad adalah penting bagi kami,"""" tandasnya."",Liputan6.com,Liga Indonesia,https://www.liputan6.com/bola/read/5881688/eksklusif-liputan6-sctv-patrick-kluivert-tidak-ingin-buang-waktu-demi-bawa-timnas-indonesia-lolos-ke-piala-dunia-dan-bahagiakan-suporter";;;;;;;;
"Real Madrid Vs Barcelona: Menang 5-2, Los Cules Juara Piala Super Spanyol,""Barcelona menjuarai Piala Super Spanyol 2024. Tertinggal duluan dari Real Madrid, Los Cules akhirnya menang 5-2.";;;;;;;;
Pada pertandingan final Piala Super Spanyol di King Abdullah Sports City stadium, Senin (13/1/2025) dini hari WIB, Madrid unggul duluan lewat Kylian Mbappe pada menit kelima.;;;;;;;;
Barcelona bangkit untuk menutup babak pertama dengan keunggulan 4-1 lewat Lamine Yamal, Robert Lewandowski, Raphinha, dan Alejandro Balde.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Di babak kedua, Raphinha menambah gol keduanya untuk bikin Barcelona memimpin 5-1. Vinicius Junior memperkeci skor jadi 2-5 pada menit ke-60.;;;;;;;;
Barcelona bermain 10 orang karena Wojciech Szczesny dikartumerah. Hasil ini membuat Barcelona merebut gelar Piala Super Spanyol ke-16, unggul tiga trofi dari Real Madrid.;;;;;;;;
Jalannya laga Real Madrid vs Barcelona;;;;;;;;
Barcelona ambil inisiatif serangan dengan memaksa Thibaut Courtois melakukan due penyelamatan di tiga menit pertama laga berjalan.;;;;;;;;
Tapi, Madrid justru yang membuka keunggulan pada menit kelima lewat Mbappe. Dari serangan balik cepat, Vinicius Junior merebut bola dari Marc Casado dan mengopernya kepada Mbappe.;;;;;;;;
Mbappe melakukan solo run hingga mendekati kotak penalti dan mengecoh dua penjaganya, sebelum menembakkan bola ke tiang jauh.;;;;;;;;
Tak lama berselang, Courtois susah payah menepis bola sundulan Raphinha dari jarak dekat.;;;;;;;;
Lamine Yamal yang menyamakan skor pada menit ke-22. Yamal melakukan tusukan dari sisi kanan, mengelabui Ferland Mendy dan Aurelien Tchouameni, untuk kemudian menembak bola ke tiang jauh gawang Courtois.;;;;;;;;
Madrid dihukum penalti pada menit ke-36 setelah Eduardo Camavinga menendang paha Gavi. VAR lantas mengonfirmasi hukuman itu dan Lewandowski menghujamkan bola ke gawang Courtois.;;;;;;;;
Tiga menit berselang Raphinha mencetak gol ketiga Barcelona lewat tandukan meneruskan umpan silang Jules Kounde. Courtois cuma terpaku melihat gawangnya bobol.;;;;;;;;
Alejandro Balde menambah derita Madrid di masa injury time karena tertinggal 1-4. Lewat serangan balik, Raphinha mampu memancing keluar Federico Valverde sebelum mengirim bola ke kotak penalti.;;;;;;;;
Balde yang naik sampai ke depan dengan bebas menghanta bola itu dengan kaki kirinya dan tak kuasai dihalau Courtois.;;;;;;;;
Barcelona yang unggul 4-1 tanpa ampun memulai babak kedua.;;;;;;;;
Barcelona memperbesar skor jadi 5-1 pada menit ke-48 lewat gol kedua Raphinha. Menerima umpan daerah Casado, Raphinha berlari menuju sepertiga akhir lapangan Madrid dan berhasil mendahului Antonio Ruediger serta Tchouameni, untuk mencocor bola ke gawang Courtois.;;;;;;;;
Barcelona harus bermain dengan 10 orang setelah Szczesny dikartumerah pada menit ke-56. Dia keluar dari sarang dan melanggar Mbappe yang dalam posisi on goal.;;;;;;;;
Madrid memperkecil defisit jadi 2-5 lewat Rodrygo pada menit ke-60 lewat sepakan ke tiang jauh, tanpa bisa dihalau kiper pengganti Inaki Pena.;;;;;;;;
Tidak ada gol tercipta sampai pertandingan tuntas dan Barcelona keluar sebagai juara.;;;;;;;;
Susunan pemain;;;;;;;;
Real Madrid: Courtois; Vazquez (Asencio 52'), Rudiger, Tchouameni (Modric 64'), Mendy (Fran 75'); Camavinga (Ceballos 46'), Valverde, Bellingham; Rodrygo, Vinicius Jr (Diaz 76'), Mbappe.;;;;;
Barcelona: Szczesny; Kounde, Cubarsi, Martinez, Balde; Casado, Pedri (Pena 59'), Gavi;" Yamal (Olmo 59'), Raphinha (Torres 79'), Lewandowski."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-spanyol/d-7729457/real-madrid-vs-barcelona-menang-5-2-los-cules-juara-piala-super-spanyol";;;;;
"PSS Sleman Ungkap Rahasia Menang Beruntun,""PSS Sleman sedang dalam tren positif. Super Elang Jawa mengungkap rahasia bisa memetik kemenangan beruntun.";;;;;;;;
Di Liga 1, PSS menaklukkan dua tim Jawa Timur: Madura United dan Persebaya Surabaya. Laskar Sembada mampu mencetak tujuh gol dalam dua laga itu, juga cuma kebobolan satu kali saat menjamu Bajul Ijo.;;;;;;;;
Pemain bertahan PSS, Abduh Lestaluhu, mengungkap ada latihan keras di balik performa bagus tim. Skuad asuhan Mazola Junior menempa diri pagi dan sore setiap hari.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
"Kami dalam beberapa hari ini memang menjalani latihan dua kali sehari di pagi dan sore. Program ini sudah disusun oleh staf pelatih dari sebelum pertandingan menghadapi Persebaya,"""" kata Abduh di situs Liga 1.";;;;;;;;
"Saya melihat dengan hasil bagus yang kami raih dari beberapa laga terakhir, teman-teman sangat bersemangat dalam berlatih. Ini terutama dengan beberapa pemain baru kami, mereka sangat bersemangat untuk cepat beradaptasi dengan tim. Saya rasa ini bagus untuk tim ke depannya,"""" kata Abduh.";;;;;;;;
PSS akan menjalani pertandingan melawan tim Jawa Timur lain, Persik Kediri. Laga itu akan digelar di Stadion Brawijaya, Minggu (19/1/2025).;;;;;;;;
"Di klasemen Liga 1 , PSS kini menempati posisi ke-13 dengan raihan 18 poin. Sementara itu, Persik merupakan penghuni posisi keempat dengan koleksi 30 poin."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7737529/pss-sleman-ungkap-rahasia-menang-beruntun";;;;;;;;
"Persib Vs Dewa United: Maung Bandung Kalah 0-2,""Persib Bandung gagal meraih poin melawan Dewa United dalam lanjutan Liga 1. Maung Bandung tumbang 0-2.";;;;;;;;
Persib Bandung vs Dewa United berlangsung di Stadion GBLA, Jumat (17/1/2025) malam WIB. Tim tamu lebih mengancam lebih dulu pada 15 menit awal.;;;;;;;;
Dewa United akhirnya mampu membuka keunggulan 1-0 di menit ke-30. Alex Martins Ferreira menuntaskan umpan Ricky Kambuaya untuk menjadi gol.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Persib mencoba untuk mencari gol penyama kedudukan. Beberapa kali peluang melalui David da Silva maupun Tyronne del Pino masih belum menemui sasaran.;;;;;;;;
Upaya Persib tak kunjung membuahkan hasil sepanjang babak pertama. skor 1-0 pun bertahan untuk Dewa United sampai turun minum.;;;;;;;;
Persib lebih menekan di babak kedua. Di sisi lain, Dewa United tidak tampil bertahan lebih dalam.;;;;;;;;
Sampai laga berjalan satu jam, Persib masih kesulitan mendapatkan gol. Penyelesaian juara bertahan ini cenderung buruk.;;;;;;;;
Alih-alih mendapatkan gol, Persib malah kebobolan lagi di injury time. Dewa United menang 2-0 lewat gol Septian Bagaskara.;;;;;;;;
Hasil ini membuat Dewa United duduk di posisi keempat klasemen Liga 1 dengan 31 poin. Persib masih di puncak dengan 40 poin.;;;;;;;;
Susunan Pemain:;;;;;;;;
Persib Bandung: Kevin Ray Mendoza; Gustavo Franca, Mateo Kocijan, Kakang Rudianto, Edo Febriansah; Marc Klok (C), Adam Alis, Tyronne del Pino; Beckham Putra, Ciro Alves, David da Silva.;;;;;
Dewa United: Sonny Stevens; Angelo Meneses, Alfriyanto Nico, Brian Fatari, Reva Adi Utama; Hugo 'Jaja' Gomes, Ricky Kambuaya (C), Alexis Messidoro;" Egi Maulana Vikri, Taisei Marukawa, Alex Martins Ferreira."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7737767/persib-vs-dewa-united-maung-bandung-kalah-0-2";;;;;
"Resmi Dipekerjakan PSSI, Patrick Kluivert Ungkap Tantangan Terbesar Latih Timnas Indonesia,""Liputan6.com, Jakarta Pelatih baru Timnas Indonesia Patrick Kluivert mengungkap satu aspek yang dinilai bakal jadi tantangan terbesarnya saat mulai menukangi skuad Garuda.";;;;;;;;
Pria asal Belanda menyebut perbedaan gaya bermain bisa jadi batu sandungan dalam menunaikan tugasnya, meski legenda Barcelona juga mengaku sudah mengantongi strategi guna mengatasi hambatan tersebut.;;;;;;;;
Baca Juga;;;;;;;;
Sebagaimana diketahui, Kluivert diumumkan menjadi pengganti Shin Tae-yong di Timnas Indonesia oleh PSSI melalui unggahan di media sosial resmi mereka sejak Rabu (8/1/2025).;;;;;;;;
Advertisement;;;;;;;;
Juru taktik berusia 48 tahun tiba di Tanah Air pada Sabtu (11/1/2025) dan langsung diperkenalkan ke publik lewat konferensi pers di bilangan Jakarta Pusat sehari berselang.;;;;;;;;
Ketua Umum PSSI Erick Thohir menjelaskan, federasi telah mengikat Patrick Kluivert dengan kontrak berdurasi 2 tahun disertai opsi perpanjangan selama 2 tahun lagi.;;;;;;;;
Sang pelatih dibebani target utama meloloskan Timnas Indonesia ke putaran final Piala Dunia 2026. Kans ini cukup terbuka mengingat skuad Garuda di bawah asuhan STY mampu mencapai peringkat 3 grup C ronde 3 kualifikasi dan hanya berselisih 1 angka dari Australia di urutan kedua.;;;;;;;;
Dengan target yang begitu tinggi, Patrick Kluivert pun terang-terangan mengaku ada satu aspek yang berpotensi jadi tantangan terbesarnya ketika mulai menukangi skuad Garuda.;;;;;;;;
Aspek yang dimaksud ialah adalah perbedaan gaya permainan Indonesia dengan Eropa, mengingat sebagian besar pengalaman sepak bola Kluivert ditempa di Benua Biru.;;;;;;;;
"(Yang jadi tantangan) tentu saja gaya bermain di Indonesia berbeda (dengan negara-negara Eropa),"""" beber Kluivert dalam konferensi pers perkenalan dirinya sebagai pelatih baru Timnas Indonesia di Hotel Mulia, Senayan, Jakarta, Minggu (12/1/2025).";;;;;;;;
Walau begitu, Patrick Kluivert mengaku sudah punya strategi untuk menjembatani perbedaan gaya permainan di Timnas Indonesia. Menurut dia, faktor komunikasi jadi kunci demi memastikan para penggawa bisa menerapkan style bermain yang dia inginkan.;;;;;;;;
